SKU,Medication,Category,Form,Strength,Size,Total,List $,Your $,Description
FL-AOD-03,AOD-9604,Fat Loss & Metabolic,Troches,300mcg,each,300mcg,$2.50,$2.00,C-terminal HGH fragment stimulating lipolysis without affecting IGF-1 or blood sugar.
HR-OXA-06,Oxandrolone,Hormone Replacement Therapy,Troches,25mg,each,25mg,$2.75,$2.20,Anabolic steroid used in HRT and muscle-wasting conditions at therapeutic doses.
HR-OXA-07,Oxandrolone,Hormone Replacement Therapy,Troches,50mg,each,50mg,$3.00,$2.40,Anabolic steroid used in HRT and muscle-wasting conditions at therapeutic doses.
HR-OXS,Oxandrolone SL - Flavorless Troche,Hormone Replacement Therapy,Troche,25mg,each,25mg,$10.29,,Sublingual oxandrolone for faster absorption in anabolic HRT protocols.
HR-OXS-02,Oxandrolone SL - Flavorless Troche,Hormone Replacement Therapy,Troche,50mg,each,50mg,$3.32,,Sublingual oxandrolone for faster absorption in anabolic HRT protocols.
HR-B5C,BIEST (50:50) - CREME DE MENTHE,Hormone Replacement Therapy,Troche,0.1mg,each,,$1.99,,Flavored sublingual 50:50 BIEST troche for discreet estrogen dosing.
HR-ESL,ESTRADIOL SL - CREME DE MENTHE,Hormone Replacement Therapy,Troche,4.5mg,each,,,$1.99,Flavored sublingual estradiol troche for fast-absorbing estrogen replacement.
HR-STB,Stanazolol SL - BERRY EXP,Hormone Replacement Therapy,Troche,5mg,each,,,$3.32,Flavored sublingual stanozolol troche for anabolic and tissue healing support.
HR-TAM-02,Tamoxifen,Hormone Replacement Therapy,Troche,20mg,each,,,$1.99,SERM blocking estrogen receptors; used in cancer prevention and post-cycle therapy.
HR-TST,Testosterone SR Troche,Hormone Replacement Therapy,Troche,10mg,each,,,$1.99,Sublingual sustained-release testosterone for convenient androgen delivery.
HR-TST-02,Testosterone SR Troche,Hormone Replacement Therapy,Troche,25mg,each,,,$1.99,Sublingual sustained-release testosterone for convenient androgen delivery.
HR-TST-03,Testosterone SR Troche,Hormone Replacement Therapy,Troche,50mg,each,,,$1.99,Sublingual sustained-release testosterone for convenient androgen delivery.
HR-TST-04,Testosterone SR Troche,Hormone Replacement Therapy,Troche,75mg,each,,,$1.99,Sublingual sustained-release testosterone for convenient androgen delivery.
HR-TST-05,Testosterone SR Troche,Hormone Replacement Therapy,Troche,100mg,each,,,$1.99,Sublingual sustained-release testosterone for convenient androgen delivery.
HR-TST-06,Testosterone SR Troche,Hormone Replacement Therapy,Troche,200mg,each,,,$1.99,Sublingual sustained-release testosterone for convenient androgen delivery.
SX-SCS,Sildenafil Citrate SL,Sexual Health,Troche,125mg,each,125mg,$2.00,,Sublingual sildenafil troche for rapid-onset ED management.
SX-STS,Sildenafil/Tadalafil SL,Sexual Health,Troche,120mg/22mg,each,120mg/22mg,$2.75,,Combined PDE5 inhibitor troche for enhanced ED response.
SX-TSL,Tadalafil SL - Berry Explosion,Sexual Health,Troche,20mg,each,20mg,$2.00,,Flavored sublingual tadalafil troche for convenient rapid-dissolve ED therapy.
SX-TAP,Tadalafil/Apomorphine,Sexual Health,Troche,40mg/4mg,each,,$3.00,,Novel troche pairing PDE5 inhibitor with dopamine agonist for enhanced sexual response.
SX-TAP-02,Tadalafil/Apomorphine,Sexual Health,Troche,40mg/6mg,each,,$3.00,,Novel troche pairing PDE5 inhibitor with dopamine agonist for enhanced sexual response.
