SKU,Medication,Category,Form,Strength,Size,Total,List $,Your $,Description
AA-SYN,Synapsin : Rg3/NR,Anti-Aging,Nasal Spray,RG3 2mg/B12 2mg/NR 50mg/mL,10mL,20mg/20mg/500mg,$75.00,$60.00,Nasal Rg3 + B12 + NR blend for cognitive clarity and neurological support.
AA-NADN,NAD+ Nasal Spray,Anti-Aging,Nasal Spray,300mg/mL,10mL,3000mg,$120.00,$96.00,Intranasal NAD+ for rapid absorption supporting brain energy and anti-aging.
TR-BPCN,BPC-157 Nasal Spray,Tissue Repair & Recovery,Nasal Spray,10mg/mL,10mL,100mg,$100.00,$80.00,Intranasal BPC-157 for systemic healing without injection.
TR-BTN,BPC-157 & TB-500 Nasal Spray,Tissue Repair & Recovery,Nasal Spray,10mg/10mg/mL,10mL,100mg/100mg,$125.00,$100.00,Nasal Wolverine Stack for non-injectable recovery support.
CM-PNN,Pinealon Nasal Spray,Cognitive & Mood,Nasal Spray,4mg/mL,10mL,40mg,$150.00,$120.00,Intranasal tripeptide bioregulator for neuronal protection and circadian function.
CM-SLN,Selank Nasal Spray,Cognitive & Mood,Nasal Spray,7.5mg/mL,10mL,75mg,$100.00,$80.00,Intranasal anxiolytic and nootropic peptide derived from tuftsin.
CM-SMN,Semax Nasal Spray,Cognitive & Mood,Nasal Spray,7.5mg/mL,10mL,75mg,$100.00,$80.00,"Intranasal ACTH analogue enhancing memory, focus, and neuroprotection."
CM-SSN,Semax/Selank Nasal Spray,Cognitive & Mood,Nasal Spray,10mg/10mg/mL,10mL,100mg/100mg,$150.00,$120.00,Nasal cognitive stack blending focus-enhancing Semax with calming Selank.
SX-OXN,Oxytocin Nasal Spray,Sexual Health,Nasal Spray,100IU/mL,10mL,1000IU,$70.00,$56.00,"Intranasal oxytocin for bonding, sexual arousal, and stress reduction."
SX-OXN-02,Oxytocin Nasal Spray,Sexual Health,Nasal Spray,50IU/mL,10mL,500IU,$50.00,$40.00,"Intranasal oxytocin for bonding, sexual arousal, and stress reduction."
SX-BRM,Bremelanotide (PT-141) Nasal Spray,Sexual Health,Nasal Spray,5mg/mL,10mL,50mg,$150.00,$120.00,Nasal PT-141 for female HSDD and male erectile support.
PP-SYP,Synapsin (Rg3/B12 Methyl/NAD),Peptides,Nasal Spray,2mg/2mg/50mg/mL,10mL,,$74.70,,"Nootropic nasal spray combining ginsenoside Rg3, methylcobalamin, and NAD."
