SKU,Medication,Category,Form,Strength,Size,Total,List $,Your $,Description
AS-TES,Tesofensine,Appetite Suppressant,Capsules,250 mcg,each,250 mcg,$2.00,$1.60,Triple monoamine reuptake inhibitor; reduces appetite and raises thermogenesis.
AS-TES-02,Tesofensine,Appetite Suppressant,Capsules,500 mcg,each,500 mcg,$2.50,$2.00,Triple monoamine reuptake inhibitor; reduces appetite and raises thermogenesis.
FL-5AM,5 Amino 1-MQ,Fat Loss & Metabolic,Capsules,50mg,each,50mg,$2.50,$2.00,NNMT inhibitor activating fat-burning pathways at the cellular level.
FL-S33,SLU-PP-33,Fat Loss & Metabolic,Capsules,200mcg,each,200mcg,$1.50,$1.20,Oral ERRα/δ agonist promoting mitochondrial biogenesis and metabolic rate.
FL-S33-02,SLU-PP-33,Fat Loss & Metabolic,Capsules,1000mcg,each,1000mcg,$2.00,$1.60,Oral ERRα/δ agonist promoting mitochondrial biogenesis and metabolic rate.
FL-BAM,BAM15,Fat Loss & Metabolic,Capsules,15mg,each,15mg,$2.50,$2.00,Mitochondrial uncoupler converting calories to heat without disrupting membrane potential.
AA-ODN,Ondansetron,Anti-Aging,Capsules,4mg,30 ct,120mg,$18.00,$14.40,"5-HT3 antiemetic to manage nausea, especially during GLP-1 therapy."
AA-MK6,MK-677 (Ibutamoren),Anti-Aging,Capsules,12.5mg,each,12.5mg,$2.50,$2.00,"Oral GH secretagogue raising IGF-1 for muscle, sleep, and recovery support."
AA-MK6-02,MK-677 (Ibutamoren),Anti-Aging,Capsules,25mg,each,25mg,$3.25,$2.60,"Oral GH secretagogue raising IGF-1 for muscle, sleep, and recovery support."
AA-DHX,Dihexa,Anti-Aging,Capsules,10mg,each,10mg,$2.50,$2.00,Potent nootropic promoting synaptogenesis via the HGF/MET pathway.
AA-DHX-02,Dihexa,Anti-Aging,Capsules,20mg,each,20mg,$3.00,$2.40,Potent nootropic promoting synaptogenesis via the HGF/MET pathway.
AA-MB,Methylene Blue,Anti-Aging,Capsules,10mg,each,10mg,$1.00,$0.80,Mitochondrial electron carrier (wellness dose) for brain energy and anti-aging.
TR-BPC-03,BPC-157,Tissue Repair & Recovery,Capsules,500mcg,each,500mcg,$2.00,$1.60,"Synthetic gastric pentadecapeptide accelerating tendon, ligament, gut, and muscle healing."
TR-BKP,BPC-157/KPV/PEA/Tributyrin,Tissue Repair & Recovery,Capsules,500/500mcg/400/400mg,each,—,$2.50,$2.00,"Oral gut-healing capsule combining BPC-157, KPV, PEA, and butyrate."
